  -0.10955885E+01   0.24470027E+01   0.59073423E+01  -0.12143970E+00   0.12630388E+00   0.11583668E+00  -0.11848019E+00   0.23026658E+00  -0.88919767E+00   0.45752324E+00
  -0.10949548E+01   0.24469714E+01   0.59073196E+01  -0.12143148E+00   0.12625379E+00   0.11585376E+00  -0.11870202E+00   0.23033877E+00  -0.88890753E+00   0.45808667E+00
  -0.10943210E+01   0.24469401E+01   0.59072970E+01  -0.12142325E+00   0.12620364E+00   0.11587087E+00  -0.11892413E+00   0.23041105E+00  -0.88861704E+00   0.45864992E+00
  -0.10936873E+01   0.24469087E+01   0.59072742E+01  -0.12141501E+00   0.12615342E+00   0.11588800E+00  -0.11914653E+00   0.23048342E+00  -0.88832620E+00   0.45921299E+00
  -0.10930535E+01   0.24468772E+01   0.59072515E+01  -0.12140676E+00   0.12610314E+00   0.11590516E+00  -0.11936921E+00   0.23055589E+00  -0.88803499E+00   0.45977587E+00
  -0.10924198E+01   0.24468457E+01   0.59072287E+01  -0.12139849E+00   0.12605279E+00   0.11592233E+00  -0.11959218E+00   0.23062845E+00  -0.88774343E+00   0.46033857E+00
  -0.10917860E+01   0.24468141E+01   0.59072058E+01  -0.12139021E+00   0.12600238E+00   0.11593954E+00  -0.11981543E+00   0.23070111E+00  -0.88745152E+00   0.46090108E+00
  -0.10911523E+01   0.24467825E+01   0.59071829E+01  -0.12138191E+00   0.12595189E+00   0.11595676E+00  -0.12003898E+00   0.23077386E+00  -0.88715924E+00   0.46146341E+00
  -0.10905185E+01   0.24467508E+01   0.59071600E+01  -0.12137361E+00   0.12590134E+00   0.11597401E+00  -0.12026281E+00   0.23084670E+00  -0.88686662E+00   0.46202555E+00
  -0.10898848E+01   0.24467190E+01   0.59071370E+01  -0.12136529E+00   0.12585073E+00   0.11599128E+00  -0.12048694E+00   0.23091964E+00  -0.88657363E+00   0.46258750E+00
  -0.10892511E+01   0.24466872E+01   0.59071140E+01  -0.12135695E+00   0.12580004E+00   0.11600857E+00  -0.12071135E+00   0.23099268E+00  -0.88628029E+00   0.46314927E+00
  -0.10886173E+01   0.24466554E+01   0.59070909E+01  -0.12134861E+00   0.12574929E+00   0.11602589E+00  -0.12093606E+00   0.23106581E+00  -0.88598659E+00   0.46371086E+00
  -0.10879836E+01   0.24466234E+01   0.59070678E+01  -0.12134025E+00   0.12569847E+00   0.11604323E+00  -0.12116106E+00   0.23113904E+00  -0.88569254E+00   0.46427226E+00
