      0.69762289E+00      0.12230321E+00     -0.20800847E-01     -0.34604899E-02      0.00000000E+00     -0.97686674E+00      0.00000000E+00      0.12037824E+01      0.95731674E-01      0.61020955E+00      0.95177668E+00      0.38722477E+00     -0.42420249E+00
      0.69763657E+00      0.12230457E+00     -0.20790241E-01     -0.34586818E-02      0.00000000E+00     -0.97687832E+00      0.00000000E+00      0.12038055E+01      0.95733805E-01      0.61021220E+00      0.95177812E+00      0.38723048E+00     -0.42418944E+00
      0.69763657E+00      0.12230457E+00     -0.20790241E-01     -0.34586819E-02      0.00000000E+00     -0.97687832E+00      0.00000000E+00      0.12038055E+01      0.95733805E-01      0.61021220E+00      0.95177812E+00      0.38723048E+00     -0.42418944E+00
      0.69765026E+00      0.12230593E+00     -0.20779635E-01     -0.34568739E-02      0.00000000E+00     -0.97688990E+00      0.00000000E+00      0.12038287E+01      0.95735936E-01      0.61021485E+00      0.95177956E+00      0.38723619E+00     -0.42417638E+00
      0.69765026E+00      0.12230593E+00     -0.20779635E-01     -0.34568739E-02      0.00000000E+00     -0.97688990E+00      0.00000000E+00      0.12038287E+01      0.95735936E-01      0.61021485E+00      0.95177956E+00      0.38723619E+00     -0.42417638E+00
      0.69766395E+00      0.12230729E+00     -0.20769030E-01     -0.34550660E-02      0.00000000E+00     -0.97690148E+00      0.00000000E+00      0.12038518E+01      0.95738068E-01      0.61021749E+00      0.95178099E+00      0.38724191E+00     -0.42416333E+00
      0.69766395E+00      0.12230729E+00     -0.20769030E-01     -0.34550661E-02      0.00000000E+00     -0.97690148E+00      0.00000000E+00      0.12038518E+01      0.95738068E-01      0.61021749E+00      0.95178099E+00      0.38724191E+00     -0.42416333E+00
      0.69767764E+00      0.12230865E+00     -0.20758425E-01     -0.34532583E-02      0.00000000E+00     -0.97691306E+00      0.00000000E+00      0.12038749E+01      0.95740199E-01      0.61022014E+00      0.95178243E+00      0.38724762E+00     -0.42415027E+00
      0.69767764E+00      0.12230865E+00     -0.20758425E-01     -0.34532583E-02      0.00000000E+00     -0.97691306E+00      0.00000000E+00      0.12038749E+01      0.95740199E-01      0.61022014E+00      0.95178243E+00      0.38724762E+00     -0.42415027E+00
      0.69769133E+00      0.12231001E+00     -0.20747820E-01     -0.34514505E-02      0.00000000E+00     -0.97692465E+00      0.00000000E+00      0.12038980E+01      0.95742330E-01      0.61022279E+00      0.95178387E+00      0.38725333E+00     -0.42413722E+00
      0.69769133E+00      0.12231001E+00     -0.20747820E-01     -0.34514506E-02      0.00000000E+00     -0.97692465E+00      0.00000000E+00      0.12038980E+01      0.95742330E-01      0.61022279E+00      0.95178387E+00      0.38725333E+00     -0.42413722E+00
      0.69770502E+00      0.12231137E+00     -0.20737216E-01     -0.34496430E-02      0.00000000E+00     -0.97693623E+00      0.00000000E+00      0.12039211E+01      0.95744462E-01      0.61022544E+00      0.95178531E+00      0.38725905E+00     -0.42412416E+00
      0.69770502E+00      0.12231137E+00     -0.20737216E-01     -0.34496430E-02      0.00000000E+00     -0.97693623E+00      0.00000000E+00      0.12039211E+01      0.95744462E-01      0.61022544E+00      0.95178531E+00      0.38725905E+00     -0.42412416E+00
      0.69771870E+00      0.12231274E+00     -0.20726611E-01     -0.34478354E-02      0.00000000E+00     -0.97694781E+00      0.00000000E+00      0.12039442E+01      0.95746593E-01      0.61022808E+00      0.95178674E+00      0.38726476E+00     -0.42411111E+00
      0.69771870E+00      0.12231274E+00     -0.20726611E-01     -0.34478355E-02      0.00000000E+00     -0.97694781E+00      0.00000000E+00      0.12039442E+01      0.95746593E-01      0.61022808E+00      0.95178674E+00      0.38726476E+00     -0.42411111E+00
      0.69773239E+00      0.12231410E+00     -0.20716007E-01     -0.34460280E-02      0.00000000E+00     -0.97695939E+00      0.00000000E+00      0.12039673E+01      0.95748724E-01      0.61023073E+00      0.95178818E+00      0.38727047E+00     -0.42409805E+00
      0.69773239E+00      0.12231410E+00     -0.20716007E-01     -0.34460280E-02      0.00000000E+00     -0.97695939E+00      0.00000000E+00      0.12039673E+01      0.95748724E-01      0.61023073E+00      0.95178818E+00      0.38727047E+00     -0.42409805E+00
      0.69774608E+00      0.12231546E+00     -0.20705403E-01     -0.34442206E-02      0.00000000E+00     -0.97697097E+00      0.00000000E+00      0.12039905E+01      0.95750856E-01      0.61023338E+00      0.95178962E+00      0.38727619E+00     -0.42408500E+00
      0.69774608E+00      0.12231546E+00     -0.20705403E-01     -0.34442207E-02      0.00000000E+00     -0.97697097E+00      0.00000000E+00      0.12039905E+01      0.95750856E-01      0.61023338E+00      0.95178962E+00      0.38727619E+00     -0.42408500E+00
      0.69775977E+00      0.12231682E+00     -0.20694799E-01     -0.34424133E-02      0.00000000E+00     -0.97698256E+00      0.00000000E+00      0.12040136E+01      0.95752987E-01      0.61023603E+00      0.95179105E+00      0.38728190E+00     -0.42407194E+00
      0.69775977E+00      0.12231682E+00     -0.20694799E-01     -0.34424133E-02      0.00000000E+00     -0.97698256E+00      0.00000000E+00      0.12040136E+01      0.95752987E-01      0.61023603E+00      0.95179105E+00      0.38728190E+00     -0.42407194E+00
      0.69777346E+00      0.12231818E+00     -0.20684195E-01     -0.34406061E-02      0.00000000E+00     -0.97699414E+00      0.00000000E+00      0.12040367E+01      0.95755119E-01      0.61023867E+00      0.95179249E+00      0.38728761E+00     -0.42405889E+00
