# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:Bvecx	12:Bvecy	13:Bvecz
640	3.9999999999999425e-01	0	0	-2	2	2	-5.0375000000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.8143883890784350e-18
640	3.9999999999999425e-01	0	0	-1	2	2	-5.0124999999999997e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.8143883890784350e-18
640	3.9999999999999425e-01	0	0	0	2	2	-4.9875000000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.8143883890784350e-18
640	3.9999999999999425e-01	0	0	1	2	2	-4.9625000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.9918357501239139e-18
640	3.9999999999999425e-01	0	0	2	2	2	-4.9375000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	3.0006730454568083e-18
640	3.9999999999999425e-01	0	0	3	2	2	-4.9125000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	7.5009145497211600e-18
640	3.9999999999999425e-01	0	0	4	2	2	-4.8875000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	9.1204820644466538e-18
640	3.9999999999999425e-01	0	0	5	2	2	-4.8625000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	5.6244324031331527e-18
640	3.9999999999999425e-01	0	0	6	2	2	-4.8375000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.1136312554102837e-18
640	3.9999999999999425e-01	0	0	7	2	2	-4.8125000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-9.7051698366843661e-19
640	3.9999999999999425e-01	0	0	8	2	2	-4.7875000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.2141515631120978e-17
640	3.9999999999999425e-01	0	0	9	2	2	-4.7625000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.3248641676983821e-17
640	3.9999999999999425e-01	0	0	10	2	2	-4.7375000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-6.1972162484288138e-18
640	3.9999999999999425e-01	0	0	11	2	2	-4.7125000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.3551318131863212e-17
640	3.9999999999999425e-01	0	0	12	2	2	-4.6875000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.1512260937825833e-17
640	3.9999999999999425e-01	0	0	13	2	2	-4.6625000000000005e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999933e-01	1.1089934408596327e-17
640	3.9999999999999425e-01	0	0	14	2	2	-4.6375000000000005e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999800e-01	1.1168724402957397e-17
640	3.9999999999999425e-01	0	0	15	2	2	-4.6125000000000005e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999512e-01	8.1262270895322120e-18
640	3.9999999999999425e-01	0	0	16	2	2	-4.5875000000000005e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999998357e-01	5.5629084298777593e-19
640	3.9999999999999425e-01	0	0	17	2	2	-4.5625000000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999994782e-01	-1.0847131152817783e-17
640	3.9999999999999425e-01	0	0	18	2	2	-4.5375000000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9999999999982314e-01	-1.0939372600789437e-17
640	3.9999999999999425e-01	0	0	19	2	2	-4.5125000000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9999999999939360e-01	-2.6357963610222687e-17
640	3.9999999999999425e-01	0	0	20	2	2	-4.4875000000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999793032e-01	-8.2376003684056047e-18
640	3.9999999999999425e-01	0	0	21	2	2	-4.4625000000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9999999999292699e-01	1.2094405022562487e-17
