# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
2560	4.0000000000001878e-01	0	0	22	2	2	-4.8593750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	23	2	2	-4.8531249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	24	2	2	-4.8468749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	25	2	2	-4.8406250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	26	2	2	-4.8343750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	27	2	2	-4.8281250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	28	2	2	-4.8218749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	29	2	2	-4.8156250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	30	2	2	-4.8093750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	31	2	2	-4.8031250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	32	2	2	-4.7968749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	33	2	2	-4.7906250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	34	2	2	-4.7843750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	35	2	2	-4.7781250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	36	2	2	-4.7718749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	37	2	2	-4.7656250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	38	2	2	-4.7593750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	39	2	2	-4.7531250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	40	2	2	-4.7468749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	41	2	2	-4.7406250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	42	2	2	-4.7343750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	43	2	2	-4.7281250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	44	2	2	-4.7218749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	45	2	2	-4.7156250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	46	2	2	-4.7093750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	47	2	2	-4.7031250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	48	2	2	-4.6968749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	49	2	2	-4.6906249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	50	2	2	-4.6843750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	51	2	2	-4.6781250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	52	2	2	-4.6718750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	53	2	2	-4.6656249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	54	2	2	-4.6593750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	55	2	2	-4.6531250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	56	2	2	-4.6468750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	57	2	2	-4.6406249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	58	2	2	-4.6343750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	59	2	2	-4.6281250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	60	2	2	-4.6218750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	61	2	2	-4.6156249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	62	2	2	-4.6093750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	63	2	2	-4.6031250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
