# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
320	3.9999999999999697e-01	0	0	-2	2	2	-5.0749999999999995e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999991603494e-01
320	3.9999999999999697e-01	0	0	-1	2	2	-5.0249999999999995e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999991603494e-01
320	3.9999999999999697e-01	0	0	0	2	2	-4.9750000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999991603494e-01
320	3.9999999999999697e-01	0	0	1	2	2	-4.9249999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999970511610e-01
320	3.9999999999999697e-01	0	0	2	2	2	-4.8749999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999924154992e-01
320	3.9999999999999697e-01	0	0	3	2	2	-4.8249999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999812963869e-01
320	3.9999999999999697e-01	0	0	4	2	2	-4.7749999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999999552687935e-01
320	3.9999999999999697e-01	0	0	5	2	2	-4.7249999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999998948402402e-01
320	3.9999999999999697e-01	0	0	6	2	2	-4.6749999999999997e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999997566045784e-01
320	3.9999999999999697e-01	0	0	7	2	2	-4.6250000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999994454373053e-01
320	3.9999999999999697e-01	0	0	8	2	2	-4.5750000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999987560706072e-01
320	3.9999999999999697e-01	0	0	9	2	2	-4.5250000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999972539085524e-01
320	3.9999999999999697e-01	0	0	10	2	2	-4.4750000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999940359702233e-01
320	3.9999999999999697e-01	0	0	11	2	2	-4.4250000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999872627441455e-01
320	3.9999999999999697e-01	0	0	12	2	2	-4.3750000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999732625186233e-01
320	3.9999999999999697e-01	0	0	13	2	2	-4.3250000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9999448605324737e-01
320	3.9999999999999697e-01	0	0	14	2	2	-4.2749999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9998883453390430e-01
320	3.9999999999999697e-01	0	0	15	2	2	-4.2249999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9997781180741341e-01
320	3.9999999999999697e-01	0	0	16	2	2	-4.1749999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9995675486334545e-01
320	3.9999999999999697e-01	0	0	17	2	2	-4.1249999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9991738837441502e-01
320	3.9999999999999697e-01	0	0	18	2	2	-4.0749999999999997e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9984542874073001e-01
320	3.9999999999999697e-01	0	0	19	2	2	-4.0249999999999997e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9971694517189880e-01
320	3.9999999999999697e-01	0	0	20	2	2	-3.9750000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9949311203424618e-01
320	3.9999999999999697e-01	0	0	21	2	2	-3.9250000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9911310148428978e-01
320	3.9999999999999697e-01	0	0	22	2	2	-3.8750000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9848519755439780e-01
320	3.9999999999999697e-01	0	0	23	2	2	-3.8250000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9747685251454576e-01
320	3.9999999999999697e-01	0	0	24	2	2	-3.7750000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9590538085749813e-01
320	3.9999999999999697e-01	0	0	25	2	2	-3.7250000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9353216646725473e-01
320	3.9999999999999697e-01	0	0	26	2	2	-3.6749999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.9006426222029942e-01
320	3.9999999999999697e-01	0	0	27	2	2	-3.6249999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.8516743196713530e-01
320	3.9999999999999697e-01	0	0	28	2	2	-3.5749999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.7849325278535582e-01
320	3.9999999999999697e-01	0	0	29	2	2	-3.5249999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.6971937802228592e-01
320	3.9999999999999697e-01	0	0	30	2	2	-3.4749999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.5859679432447364e-01
320	3.9999999999999697e-01	0	0	31	2	2	-3.4249999999999997e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.4499235266871462e-01
320	3.9999999999999697e-01	0	0	32	2	2	-3.3750000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.2891118891130520e-01
320	3.9999999999999697e-01	0	0	33	2	2	-3.3250000000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	9.1048308646738474e-01
320	3.9999999999999697e-01	0	0	34	2	2	-3.2750000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	8.8990591799000107e-01
320	3.9999999999999697e-01	0	0	35	2	2	-3.2250000000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	8.6840315912631239e-01
320	3.9999999999999697e-01	0	0	36	2	2	-3.1750000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	8.4798274289916808e-01
320	3.9999999999999697e-01	0	0	37	2	2	-3.1250000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	8.2876510400715719e-01
320	3.9999999999999697e-01	0	0	38	2	2	-3.0750000000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	8.1065433146309396e-01
320	3.9999999999999697e-01	0	0	39	2	2	-3.0249999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	7.9362660132542739e-01
320	3.9999999999999697e-01	0	0	40	2	2	-2.9749999999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	7.7756165895353990e-01
320	3.9999999999999697e-01	0	0	41	2	2	-2.9249999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	7.6245367729720603e-01
320	3.9999999999999697e-01	0	0	42	2	2	-2.8749999999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	7.4823763813842270e-01
