# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
1280	3.9999999999999286e-01	0	0	-2	2	2	-5.0187499999999996e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	-1	2	2	-5.0062499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	0	2	2	-4.9937500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	1	2	2	-4.9812500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	2	2	2	-4.9687500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	3	2	2	-4.9562500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	4	2	2	-4.9437500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	5	2	2	-4.9312500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	6	2	2	-4.9187500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	7	2	2	-4.9062500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	8	2	2	-4.8937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	9	2	2	-4.8812500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	10	2	2	-4.8687500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	11	2	2	-4.8562500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	12	2	2	-4.8437500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	13	2	2	-4.8312500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	14	2	2	-4.8187500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	15	2	2	-4.8062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	16	2	2	-4.7937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	17	2	2	-4.7812500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	18	2	2	-4.7687499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	19	2	2	-4.7562500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	20	2	2	-4.7437499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	21	2	2	-4.7312500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	22	2	2	-4.7187499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	23	2	2	-4.7062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
1280	3.9999999999999286e-01	0	0	24	2	2	-4.6937499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
