# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:Bvecx	12:Bvecy	13:Bvecz
1280	3.9999999999999286e-01	0	0	81	2	2	-3.9812500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999601127665e-01	-5.1411906534922478e-17
1280	3.9999999999999286e-01	0	0	82	2	2	-3.9687500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999313629784e-01	-2.6972460421499794e-17
1280	3.9999999999999286e-01	0	0	83	2	2	-3.9562500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9999998827195413e-01	-3.6779283027275846e-17
1280	3.9999999999999286e-01	0	0	84	2	2	-3.9437500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9999998010103042e-01	-3.8660911026696655e-17
1280	3.9999999999999286e-01	0	0	85	2	2	-3.9312500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999996643801359e-01	-3.7658402315774228e-17
1280	3.9999999999999286e-01	0	0	86	2	2	-3.9187500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999994377445245e-01	-5.1971478112158875e-17
1280	3.9999999999999286e-01	0	0	87	2	2	-3.9062500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999990646544812e-01	2.5586647650169534e-18
1280	3.9999999999999286e-01	0	0	88	2	2	-3.8937500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	4.9999999999999989e-01	9.9999984544799703e-01	-3.0043567326695963e-17
1280	3.9999999999999286e-01	0	0	89	2	2	-3.8812500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	4.9999999999999989e-01	9.9999974637431133e-01	-8.6045649824777409e-17
1280	3.9999999999999286e-01	0	0	90	2	2	-3.8687500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999958667806954e-01	-1.0158920542330975e-17
1280	3.9999999999999286e-01	0	0	91	2	2	-3.8562500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999933117745265e-01	-9.6538445614356623e-18
1280	3.9999999999999286e-01	0	0	92	2	2	-3.8437500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999892548874403e-01	-2.9186508594504619e-17
